Dep_Code,Arr_Code,Dep_Date,Arr_Date,airline,baggage,flightstops,totaltime,Scrap_Date,triptype,price
DEL,DXB,8/20/2025 17:00,8/20/2025 0:00,6E,With Baggage,1,1125,8/5/2025,oneway,226.25
DEL,DXB,8/20/2025 13:30,8/20/2025 0:00,IX,With Baggage,2,670,8/5/2025,oneway,229.12
DEL,DXB,8/20/2025 18:05,8/20/2025 0:00,AI,With Baggage,2,330,8/5/2025,oneway,230.51
DEL,DXB,8/20/2025 13:20,8/20/2025 0:00,AI,With Baggage,2,610,8/5/2025,oneway,230.51
DEL,DXB,8/20/2025 14:15,8/20/2025 0:00,6E,With Baggage,1,425,8/5/2025,oneway,230.94
DEL,DXB,8/20/2025 17:05,8/20/2025 0:00,AI,With Baggage,2,430,8/5/2025,oneway,232.56
DEL,DXB,8/20/2025 18:05,8/20/2025 0:00,AI,With Baggage,2,435,8/5/2025,oneway,233.29
DEL,DXB,8/20/2025 13:45,8/20/2025 0:00,AI,With Baggage,2,520,8/5/2025,oneway,233.95
DEL,DXB,8/20/2025 13:45,8/20/2025 0:00,AI,With Baggage,2,430,8/5/2025,oneway,233.95
DEL,DXB,8/20/2025 21:50,8/20/2025 0:00,GF,With Baggage,1,430,8/5/2025,oneway,238.53
DEL,DXB,8/20/2025 4:15,8/20/2025 0:00,XY,Without Baggage,1,470,8/5/2025,oneway,241.51
DEL,DXB,8/20/2025 4:20,8/20/2025 0:00,6E,With Baggage,1,530,8/5/2025,oneway,244.61
DEL,DXB,8/20/2025 22:50,8/20/2025 0:00,AI,With Baggage,1,1345,8/5/2025,oneway,250.36
DEL,DXB,8/20/2025 3:25,8/20/2025 0:00,AI,With Baggage,1,1070,8/5/2025,oneway,251.71
DEL,DXB,8/20/2025 8:55,8/20/2025 0:00,WY,With Baggage,1,840,8/5/2025,oneway,256.69
DEL,DXB,8/20/2025 4:20,8/20/2025 0:00,6E,With Baggage,1,530,8/5/2025,oneway,257.73
DEL,DXB,8/20/2025 15:20,8/20/2025 0:00,AI,With Baggage,1,1795,8/5/2025,oneway,260.24
DEL,DXB,8/20/2025 22:50,8/20/2025 0:00,AI,With Baggage,1,1345,8/5/2025,oneway,260.45
DEL,DXB,8/20/2025 3:25,8/20/2025 0:00,AI,With Baggage,1,1070,8/5/2025,oneway,260.45
DEL,DXB,8/20/2025 9:50,8/20/2025 0:00,AI,With Baggage,0,230,8/5/2025,oneway,262.37
DEL,DXB,8/20/2025 2:55,8/20/2025 0:00,KU,With Baggage,1,640,8/5/2025,oneway,264.1
DEL,DXB,8/20/2025 4:15,8/20/2025 0:00,XY,Without Baggage,1,470,8/5/2025,oneway,264.56
DEL,DXB,8/20/2025 9:50,8/20/2025 0:00,AI,With Baggage,0,230,8/5/2025,oneway,269.58
DEL,DXB,8/20/2025 4:10,8/20/2025 0:00,FZ,With Baggage,0,225,8/5/2025,oneway,269.89
DEL,DXB,8/20/2025 8:55,8/20/2025 0:00,WY,With Baggage,1,840,8/5/2025,oneway,270.26
DEL,DXB,8/20/2025 4:00,8/20/2025 0:00,6E,With Baggage,1,430,8/5/2025,oneway,273.94
DEL,DXB,8/20/2025 18:45,8/20/2025 0:00,SG,With Baggage,0,255,8/5/2025,oneway,283.88
DEL,DXB,8/20/2025 10:25,8/20/2025 0:00,QR,With Baggage,1,1520,8/5/2025,oneway,285.02
DEL,DXB,8/20/2025 17:00,8/20/2025 0:00,6E,With Baggage,1,1210,8/5/2025,oneway,286.12
DEL,DXB,8/20/2025 11:00,8/20/2025 0:00,6E,With Baggage,1,445,8/5/2025,oneway,286.97
DEL,DXB,8/20/2025 9:35,8/20/2025 0:00,ET,With Baggage,1,1130,8/5/2025,oneway,287.28
DEL,DXB,8/20/2025 7:20,8/20/2025 0:00,IX,With Baggage,1,1755,8/5/2025,oneway,291.56
DEL,DXB,8/20/2025 4:20,8/20/2025 0:00,6E,With Baggage,1,445,8/5/2025,oneway,299.89
DEL,DXB,8/20/2025 20:05,8/20/2025 0:00,SV,With Baggage,1,600,8/5/2025,oneway,306.91
DEL,DXB,8/20/2025 16:50,8/20/2025 0:00,AI,With Baggage,0,225,8/5/2025,oneway,311.26
DEL,DXB,8/20/2025 9:35,8/20/2025 0:00,ET,With Baggage,1,1205,8/5/2025,oneway,311.45
DEL,DXB,8/20/2025 9:35,8/20/2025 0:00,ET,With Baggage,1,1130,8/5/2025,oneway,312.42
